x_val,y_val,data_channel
110,24,149
1,146,141
101,55,104
44,20,110
7,109,92
91,143,118
66,73,144
24,58,217
42,133,89
1,31,112
35,109,92
65,146,132
92,31,121
29,34,115
79,63,107
46,5,94
45,120,138
104,137,176
24,140,87
21,34,107
71,94,105
30,9,94
40,53,121
68,118,105
55,123,121
4,122,131
90,142,137
69,40,119
25,96,138
6,64,129
82,17,128
98,6,123
16,14,131
9,64,101
53,90,103
52,38,147
8,119,87
37,52,98
24,37,107
30,66,150
80,82,137
21,85,125
104,92,127
111,118,166
75,66,115
57,109,87
3,91,110
34,66,105
107,6,104
4,93,98
78,86,181
112,102,154
12,82,137
98,96,119
11,54,176
106,20,123
60,76,152
92,74,144
73,87,118
13,107,101
26,14,171
15,105,90
80,109,89
22,70,152
108,128,116
112,5,128
97,139,171
0,18,96
94,122,115
18,143,100
102,68,134
97,31,90
67,46,118
113,46,134
85,42,186
11,16,165
83,5,145
8,140,101
25,94,87
9,115,115
80,44,176
97,46,138
28,130,87
1,44,192
37,46,134
91,11,116
95,94,144
5,79,171
80,53,152
64,85,141
100,57,123
14,46,121
92,33,141
61,125,119
67,116,94
34,26,152
2,9,96
11,94,105
10,49,96
63,95,92
42,92,98
49,128,113
44,125,125
40,90,112
80,92,137
112,83,144
84,126,132
84,40,145
24,112,110
45,119,113
3,137,145
15,54,182
106,76,183
38,90,105
12,82,137
113,91,142
34,48,132
6,18,90
54,91,162
53,14,199
23,44,176
44,24,134
63,136,132
9,16,180
106,41,209
65,91,131
82,68,112
108,115,113
84,44,192
32,115,96
109,64,129
57,36,216
100,29,122
65,50,105
0,121,98
2,40,92
94,59,138
54,115,122
85,42,186
7,91,144
1,41,193
83,117,149
89,98,131
27,8,147
74,69,128
65,135,127
4,29,129
1,41,193
28,104,103
42,39,94
108,108,110
18,57,109
83,137,220
104,39,154
66,138,141
51,8,116
84,131,104
21,36,209
27,82,122
72,32,209
87,101,110
113,145,150
61,32,189
112,120,104
87,95,115
0,24,107
57,112,107
16,108,105
54,114,142
56,80,129
33,92,116
17,38,101
91,45,125
5,33,98
49,83,113
15,147,122
25,142,94
61,137,209
1,76,135
55,16,147
30,106,123
67,36,188
72,126,135
27,125,157
61,137,209
4,46,95
69,36,218
43,104,98
47,138,104
42,69,127
18,68,137
96,5,132
66,54,218
76,17,105
31,58,204
14,123,96
5,140,121
16,120,103
48,35,176
109,127,137
73,35,182
100,106,122
63,125,113
20,120,92
7,71,109
23,101,131
52,91,149
96,97,147
102,127,153
19,19,98
23,17,115
89,39,132
46,34,123
12,93,118
47,89,89
48,57,128
84,137,125
40,41,200
101,74,139
45,91,144
38,69,100
76,106,107
96,129,116
96,104,115
38,27,90
102,113,129
7,41,192
113,126,145
109,49,96
106,55,145
91,62,153
47,98,92
43,139,202
63,77,110
71,96,147
5,103,107
11,22,127
8,146,107
103,138,145
63,132,141
110,126,129
0,137,123
48,133,109
98,51,125
48,106,107
106,74,149
5,10,116
62,76,163
7,29,92
66,43,125
45,58,218
86,66,110
78,137,218
94,23,128
59,2,147
17,105,86
80,36,199
14,65,141
73,61,125
93,58,211
113,76,147
67,105,122
45,117,121
91,87,141
88,29,104
102,138,144
72,108,103
12,51,101
7,80,144
89,131,110
32,42,167
104,64,113
35,74,104
92,22,109
84,71,113
51,75,118
21,12,137
99,145,116
88,21,113
48,128,89
107,62,153
63,12,90
109,0,98
86,141,131
78,104,107
89,98,131
15,94,112
107,90,149
107,81,122
100,3,115
83,145,137
99,81,138
104,101,100
59,59,142
30,25,116
54,27,101
70,118,127
10,22,163
10,15,104
38,85,125
49,48,137
49,42,178
91,103,118
56,44,112
80,97,118
49,45,141
27,124,87
19,46,127
110,36,176
5,132,87
51,134,89
80,65,122
74,82,129
87,108,119
63,40,152
112,55,110
13,5,96
23,133,128
40,5,122
92,14,207
43,143,103
42,35,182
18,50,119
37,59,115
112,126,127
96,67,150
67,2,141
30,63,103
29,24,94
44,94,142
84,138,141
101,94,170
106,78,142
57,51,104
90,75,134
40,118,100
1,30,158
97,74,104
99,146,112
38,144,103
25,42,176
60,105,128
74,92,92
50,6,112
51,87,98
13,71,142
94,90,142
70,125,134
20,144,89
63,136,132
106,31,156
37,129,149
68,114,131
16,142,116
60,79,135
40,130,116
73,3,109
74,106,127
26,38,145
47,87,135
42,38,113
76,11,86
82,140,135
5,49,145
96,48,170
76,46,95
49,139,210
89,99,109
18,106,174
112,131,161
107,71,113
93,123,161
66,0,87
46,39,131
5,22,154
39,33,141
17,104,129
109,133,94
89,5,105
62,23,100
74,69,128
34,53,87
72,134,135
68,36,212
73,141,150
9,39,107
10,0,90
22,59,171
68,0,122
70,28,158
74,126,121
63,86,147
19,35,161
110,72,125
67,59,112
10,33,109
2,96,110
21,16,138
23,129,125
27,40,101
81,97,109
66,60,118
90,20,112
36,114,105
98,19,162
64,11,122
74,19,182
24,127,115
58,23,101
81,84,141
108,97,131
55,74,142
23,98,110
100,9,104
42,3,115
104,143,137
0,133,112
34,141,125
62,6,112
110,134,116
44,137,161
54,33,149
69,4,98
76,8,104
97,92,118
37,78,144
108,1,129
71,47,104
87,10,109
95,91,139
106,139,191
42,0,101
23,147,112
55,31,128
57,4,105
15,12,113
55,121,105
112,146,123
96,92,134
58,93,100
111,11,138
43,96,90
36,84,112
60,41,220
72,24,121
21,67,113
13,73,98
64,20,95
43,37,131
35,87,107
21,82,154
90,62,119
84,67,104
99,140,116
75,48,156
64,118,94
83,76,156
41,68,132
104,0,95
60,19,174
13,88,134
101,42,149
112,118,119
52,22,103
30,83,94
60,135,101
111,87,118
45,91,144
15,60,121
51,78,121
21,90,115
87,13,135
31,67,100
18,21,96
37,85,166
19,2,129
101,81,98
99,124,109
3,32,167
21,127,113
66,46,135
84,141,135
58,32,211
94,15,127
51,43,128
53,71,109
31,77,134
44,48,158
97,127,178
83,70,121
60,16,90
23,147,112
98,14,206
106,76,183
83,3,138
82,12,127
40,140,112
97,41,211
7,6,123
7,1,122
4,61,110
113,44,119
104,45,116
92,25,94
14,63,109
76,146,167
47,67,104
69,82,131
77,144,101
84,52,129
98,74,144
44,101,103
8,10,89
112,126,127
56,35,181
6,38,157
75,36,202
23,82,147
95,63,135
40,42,170
107,140,147
72,142,90
106,29,137
61,45,127
109,71,115
59,146,110
91,65,157
59,132,125
0,51,92
82,135,141
68,144,98
84,98,131
2,87,107
57,58,203
68,39,125
69,81,112
3,26,105
6,25,87
67,13,103
50,86,115
56,101,129
47,2,171
70,128,128
72,39,113
92,66,109
45,131,110
34,44,153
76,118,174
40,52,134
25,34,121
24,46,129
83,36,129
14,98,129
98,55,137
110,120,89
92,132,115
89,20,110
16,14,131
81,40,127
104,136,147
38,146,125
42,67,132
24,140,87
10,9,107
101,111,122
31,57,112
70,117,96
16,13,127
77,59,95
32,35,142
88,85,119
50,3,113
106,128,147
80,65,122
92,74,144
50,137,193
77,13,105
68,29,121
86,44,166
21,139,206
18,51,122
87,86,196
35,1,142
33,11,118
92,3,121
26,31,95
72,90,134
99,103,137
103,29,134
49,116,105
32,61,89
48,2,165
27,124,87
88,8,150
56,101,129
64,56,118
72,0,121
36,44,160
52,74,115
12,94,96
24,10,134
76,90,112
72,41,220
65,95,121
90,92,139
107,66,154
26,21,86
77,40,142
1,66,100
8,121,110
108,74,129
32,59,87
42,137,161
41,114,112
97,16,105
16,125,135
79,128,109
82,127,116
28,46,141
75,7,118
12,71,115
47,34,96
43,24,141
3,55,86
55,37,87
46,101,123
73,39,118
25,81,105
43,144,92
55,118,104
101,78,160
84,86,152
70,17,107
67,40,141
5,92,125
93,84,107
87,79,118
47,147,95
43,129,138
92,78,152
13,83,137
86,72,132
10,41,204
112,73,172
101,73,118
42,129,131
85,9,129
47,2,171
95,69,160
0,89,89
82,140,135
76,141,113
29,24,94
3,144,89
103,96,128
65,123,134
93,80,116
107,92,101
48,81,86
95,20,135
103,91,152
13,133,101
90,95,125
27,23,98
88,56,123
47,113,121
35,65,128
97,25,98
29,51,115
67,18,96
95,37,123
11,120,98
26,9,109
43,36,212
88,10,110
46,14,186
102,59,135
0,63,116
103,29,134
30,75,90
96,107,119
75,77,167
12,100,107
72,89,139
87,98,118
92,29,153
109,47,147
37,84,125
83,82,94
72,137,199
67,30,206
41,69,112
84,83,129
87,68,138
48,100,115
76,47,113
37,86,135
8,100,127
36,70,135
13,32,170
45,85,100
81,95,116
2,42,142
84,136,150
65,112,100
55,85,149
29,99,138
99,70,116
9,91,87
13,143,116
97,139,171
103,78,103
40,74,90
24,89,132
22,47,109
10,95,160
33,78,122
36,100,96
28,127,109
9,60,103
68,76,145
77,74,103
90,48,180
69,106,147
107,51,105
77,29,103
76,135,123
11,89,96
78,32,218
32,97,101
59,94,129
56,144,105
18,143,100
93,121,158
31,109,95
62,14,194
79,30,171
28,127,109
99,55,135
74,125,153
105,12,168
113,9,103
108,84,135
39,90,115
87,98,118
62,104,105
110,78,153
106,63,119
41,42,162
6,94,135
104,15,137
46,18,132
71,109,101
70,137,200
18,59,167
85,105,100
70,82,115
95,114,168
89,113,86
19,63,107
112,66,132
101,67,110
0,142,109
97,46,138
102,144,153
75,70,107
92,33,141
74,141,147
30,8,127
36,110,113
43,71,115
71,117,135
35,91,144
78,49,129
88,1,154
72,136,127
66,118,94
109,81,110
95,88,123
67,82,125
78,0,110
12,34,152
2,12,110
103,17,119
66,51,122
88,96,138
52,99,119
66,51,122
93,12,118
110,17,96
35,31,131
85,69,113
100,131,153
7,140,121
43,70,86
81,2,110
33,4,123
113,0,128
20,47,154
100,75,104
53,94,139
3,34,153
88,14,196
112,5,128
87,73,122
37,0,96
86,33,122
42,86,153
86,95,113
88,89,100
63,115,94
53,4,129
63,115,94
101,40,100
13,58,207
104,19,119
61,67,89
37,106,109
89,41,197
25,25,104
102,104,103
83,58,206
24,5,101
37,110,100
40,30,187
103,105,98
13,56,98
55,115,112
111,102,134
103,48,162
62,23,100
46,138,98
20,108,96
14,46,121
92,79,160
48,86,128
15,28,127
0,72,112
32,5,89
61,137,209
82,97,132
43,5,105
41,7,127
113,83,127
109,30,160
6,131,100
54,3,128
87,13,135
60,53,132
30,33,89
108,49,119
72,46,128
59,32,186
4,45,92
61,59,90
85,23,139
65,52,132
95,30,205
113,7,90
98,33,131
104,38,210
89,58,199
111,66,129
38,16,154
13,10,86
94,133,118
27,22,105
89,99,109
33,63,123
111,9,112
32,100,103
98,89,141
26,109,103
106,55,145
110,84,154
12,44,182
0,86,129
91,138,167
18,30,153
61,58,220
69,129,161
28,56,150
17,95,168
54,2,182
85,65,115
112,141,165
100,57,123
12,102,160
61,33,112
59,16,119
30,33,89
69,31,135
93,22,103
5,143,121
30,101,104
70,85,150
6,63,113
111,93,121
51,38,183
51,141,121
92,100,139
73,43,87
108,120,152
107,61,137
18,86,160
75,2,125
65,143,125
21,139,206
109,28,123
109,114,137
85,0,135
60,2,167
57,10,87
108,14,156
0,95,137
51,105,103
61,90,86
59,83,94
39,44,161
6,101,105
113,83,127
20,143,110
85,21,105
11,16,165
59,79,107
86,9,107
92,44,176
33,77,139
4,21,113
30,52,125
15,20,92
108,111,110
75,80,119
64,47,98
82,4,110
58,23,101
13,85,167
97,121,149
29,140,105
96,97,147
11,58,192
98,123,101
38,47,134
1,70,194
31,88,103
54,39,119
36,147,90
46,39,131
74,1,110
3,113,115
67,26,139
69,4,98
50,91,103
26,92,135
92,69,174
52,24,104
65,139,194
109,131,165
26,36,192
50,85,132
101,67,110
70,57,121
8,111,156
18,8,171
43,125,110
86,34,174
93,56,144
101,26,125
0,21,125
16,143,94
4,2,107
90,38,212
65,10,89
47,96,115
11,33,94
51,13,118
26,141,166
54,105,103
63,84,116
81,144,98
34,53,87
1,55,147
37,97,138
1,11,95
102,26,98
36,98,132
58,9,122
17,61,147
26,120,110
26,46,115
69,81,112
79,44,181
24,17,96
23,41,204
43,71,115
82,146,153
37,127,132
103,91,152
98,137,216
91,114,119
112,49,149
85,133,125
92,17,109
113,29,163
41,31,94
105,42,122
106,39,135
40,78,116
87,97,110
6,36,202
95,60,125
55,110,90
53,14,199
4,52,119
87,72,113
87,12,119
107,133,95
62,97,141
23,79,165
110,52,135
29,60,113
83,34,172
0,106,167
52,6,123
45,90,90
44,16,119
102,68,134
47,96,115
72,136,127
15,39,122
39,75,89
75,123,109
85,98,101
16,32,191
46,66,123
111,18,94
51,117,128
25,143,109
110,126,129
56,30,196
68,26,122
18,81,116
112,58,174
54,38,200
73,51,90
78,9,112
76,98,122
92,96,119
113,111,107
51,119,87
70,81,121
66,0,87
33,134,95
93,57,127
5,92,125
79,35,185
30,92,95
73,67,90
60,36,210
101,109,118
97,31,90
21,4,147
14,77,178
107,131,192
2,113,103
80,43,156
86,42,134
54,35,188
54,84,96
53,8,113
104,83,160
105,98,121
85,15,94
32,9,101
26,78,113
76,38,161
65,117,105
10,133,98
28,58,219
56,118,94
47,60,128
84,83,129
77,40,142
34,29,115
85,1,109
76,80,119
50,129,137
37,57,113
108,81,95
5,24,89
96,58,186
61,43,145
26,23,94
90,72,132
37,144,89
40,88,100
62,28,137
86,54,203
94,117,153
42,48,103
81,83,138
6,25,87
95,59,131
43,125,110
20,76,105
72,31,145
84,125,115
76,50,101
34,99,101
38,83,90
94,144,132
62,97,141
61,48,131
21,40,160
86,47,121
10,103,90
88,134,86
10,12,161
77,43,131
21,25,86
92,139,220
72,4,116
45,10,115
56,43,137
90,18,127
96,147,107
100,62,123
3,113,115
78,63,144
58,55,123
89,12,95
110,14,176
100,69,113
8,83,98
84,55,158
36,97,131
55,118,104
88,49,129
112,134,119
27,15,125
54,30,212
109,139,210
94,68,118
92,36,183
112,29,137
37,53,103
113,96,122
50,61,128
101,30,188
69,142,129
38,108,96
102,102,131
111,81,138
96,58,186
33,31,145
87,117,147
99,107,115
87,24,112
45,82,132
17,2,132
68,29,121
62,72,123
101,102,128
80,20,90
30,73,101
21,39,147
47,28,135
19,38,158
66,135,118
66,124,101
112,126,127
59,123,115
91,17,90
78,54,207
88,49,129
97,34,147
101,29,113
91,34,144
16,3,116
0,120,107
2,56,121
26,63,132
70,78,109
62,139,206
32,54,185
41,122,104
24,68,103
31,48,147
55,2,110
68,110,123
17,65,139
33,48,153
113,122,129
98,31,132
86,49,131
44,55,104
110,124,153
99,81,138
100,124,144
66,88,109
86,136,86
80,127,139
85,109,94
1,119,116
103,80,153
31,58,204
87,88,129
25,113,96
97,144,134
87,113,104
84,45,115
38,52,116
65,76,165
103,10,89
86,62,144
26,66,94
94,63,135
102,63,145
20,66,142
60,105,128
2,36,212
106,65,92
77,67,95
109,11,158
100,113,103
110,65,165
52,117,110
80,56,89
15,137,123
44,135,87
6,54,166
70,43,113
93,93,98
10,102,185
94,35,191
96,14,200
49,118,115
105,28,134
32,93,127
98,117,109
40,118,100
46,2,176
18,99,138
36,104,109
24,129,128
16,117,109
6,28,176
76,55,128
60,76,152
61,42,202
6,52,196
3,4,176
30,126,112
57,8,123
94,117,153
17,84,96
11,66,134
22,88,87
110,19,154
100,128,163
71,91,113
16,121,103
17,50,125
62,116,104
77,24,144
101,8,100
77,104,123
57,15,92
55,14,122
44,48,158
73,93,100
23,124,123
76,44,209
46,68,104
7,26,128
100,70,141
20,118,129
64,112,112
1,45,113
49,71,119
9,71,105
47,58,176
33,68,119
108,54,187
90,65,156
49,113,107
8,47,174
0,36,215
6,46,125
26,77,163
20,142,98
63,34,137
84,78,132
82,131,109
58,67,89
42,35,182
98,13,100
102,124,119
30,127,118
77,23,89
71,15,142
32,93,127
113,22,128
84,78,132
7,121,105
8,71,123
90,46,137
42,18,98
58,31,129
75,12,115
29,7,121
27,139,207
77,72,128
61,137,209
18,86,160
58,4,110
32,121,98
43,58,220
63,64,137
6,74,134
102,69,139
25,50,134
89,27,112
113,64,142
23,136,118
42,129,131
36,118,127
38,86,122
107,120,127
55,13,122
66,55,112
81,6,132
22,18,107
113,75,125
94,36,172
99,92,135
107,38,202
22,26,112
14,112,98
112,57,145
12,74,127
41,24,150
58,18,128
10,66,96
50,12,104
32,40,135
112,137,137
56,129,121
16,75,129
9,43,104
13,113,119
2,85,147
69,78,125
32,7,116
20,70,132
25,94,87
21,72,89
40,114,104
95,5,90
32,85,128
76,77,158
23,129,125
38,5,127
42,106,110
81,35,137
111,64,153
8,142,128
59,38,162
47,77,144
33,136,105
83,136,163
107,6,104
87,61,113
61,20,101
0,3,109
19,145,119
55,55,127
104,2,128
29,32,207
10,7,110
52,106,122
94,14,95
55,64,98
45,49,127
103,84,104
102,128,109
39,146,90
10,82,180
